tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid
607,10/1/2024 21:02,10/1/2024 21:12,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,949
682,10/1/2024 21:12,10/1/2024 21:23,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1076
507,10/1/2024 21:14,10/1/2024 21:22,Asd,Amsterdam Centraal,52.379189,4.899431,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,736
599,10/1/2024 21:36,10/1/2024 21:46,Rtb,Rotterdam Blaak,51.920582,4.486082,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1297
76,10/1/2024 21:45,10/1/2024 21:46,Asdz,Amsterdam Zuid,52.338602,4.871978,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1278
296,10/1/2024 21:47,10/1/2024 21:52,Ah,Arnhem Centraal,51.985,5.898611,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1076
337,10/1/2024 22:10,10/1/2024 22:15,Rtb,Rotterdam Blaak,51.920582,4.486082,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1301
237,10/1/2024 22:29,10/1/2024 22:33,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,940
461,10/1/2024 22:35,10/1/2024 22:42,Asd,Amsterdam Centraal,52.379189,4.899431,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,874
599,10/1/2024 22:43,10/1/2024 22:53,Rtd,Rotterdam Centraal,51.9225,4.467167,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,854
255,10/1/2024 22:53,10/1/2024 22:57,Ams,Amsterdam Amstel,52.346587,4.918684,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,882
349,10/1/2024 22:55,10/1/2024 23:01,Nm,Nijmegen Station,51.841111,5.854167,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1118
264,10/1/2024 23:06,10/1/2024 23:11,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,990
518,10/1/2024 23:12,10/1/2024 23:21,Rtd,Rotterdam Centraal,51.9225,4.467167,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1118
433,10/1/2024 23:36,10/1/2024 23:43,Uto,Utrecht Overvecht,52.113333,5.111111,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,882
1144,10/1/2024 23:46,10/1/2024 0:05,Rtd,Rotterdam Centraal,51.9225,4.467167,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1100
196,10/1/2024 0:28,10/1/2024 0:31,Asd,Amsterdam Centraal,52.379189,4.899431,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,898
428,10/1/2024 1:30,10/1/2024 1:38,Asdz,Amsterdam Zuid,52.338602,4.871978,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1139
438,10/1/2024 1:52,10/1/2024 1:59,Uto,Utrecht Overvecht,52.113333,5.111111,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,898
362,10/1/2024 3:59,10/1/2024 4:05,Asdz,Amsterdam Zuid,52.338602,4.871978,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1289
426,10/1/2024 6:58,10/1/2024 7:05,GV,The Hague Hollands Spoor,52.070833,4.322222,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1076
267,10/1/2024 7:09,10/1/2024 7:14,Uto,Utrecht Overvecht,52.113333,5.111111,107,Ames St at Main St,42.3625,-71.08822,739
3827,10/1/2024 7:31,10/1/2024 8:35,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1111
653,10/1/2024 7:57,10/1/2024 8:07,143,EF - North Point Park,42.369885,-71.069957,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,737
1079,10/1/2024 7:58,10/1/2024 8:16,Uto,Utrecht Overvecht,52.113333,5.111111,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1139
1093,10/1/2024 8:03,10/1/2024 8:21,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,117,Binney St / Sixth St,42.366095,-71.086388,1107
400,10/1/2024 8:15,10/1/2024 8:22,Rtd,Rotterdam Centraal,51.9225,4.467167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1089
243,10/1/2024 8:17,10/1/2024 8:21,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,984
632,10/1/2024 8:18,10/1/2024 8:29,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,935
1058,10/1/2024 8:19,10/1/2024 8:37,Rtd,Rotterdam Centraal,51.9225,4.467167,107,Ames St at Main St,42.3625,-71.08822,640
888,10/1/2024 8:20,10/1/2024 8:34,GV,The Hague Hollands Spoor,52.070833,4.322222,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,983
405,10/1/2024 8:21,10/1/2024 8:28,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,115,Porter Square Station,42.387995,-71.119084,1087
648,10/1/2024 8:26,10/1/2024 8:37,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1286
530,10/1/2024 8:28,10/1/2024 8:37,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,861
284,10/1/2024 8:35,10/1/2024 8:40,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,990
226,10/1/2024 8:36,10/1/2024 8:40,GV,The Hague Hollands Spoor,52.070833,4.322222,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,679
221,10/1/2024 8:36,10/1/2024 8:40,GV,The Hague Hollands Spoor,52.070833,4.322222,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1046
726,10/1/2024 8:39,10/1/2024 8:51,Ut,Utrecht Centraal,52.089444,5.110278,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1289
414,10/1/2024 8:47,10/1/2024 8:54,Uto,Utrecht Overvecht,52.113333,5.111111,141,Kendall Street,42.36356016,-71.08216792,737
324,10/1/2024 8:51,10/1/2024 8:56,Gvc,The Hague Centraal,52.084167,4.324722,107,Ames St at Main St,42.3625,-71.08822,926
549,10/1/2024 8:54,10/1/2024 9:03,Uto,Utrecht Overvecht,52.113333,5.111111,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,660
504,10/1/2024 8:56,10/1/2024 9:05,Ut,Utrecht Centraal,52.089444,5.110278,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1046
687,10/1/2024 9:02,10/1/2024 9:14,Rtd,Rotterdam Centraal,51.9225,4.467167,143,EF - North Point Park,42.369885,-71.069957,1268
568,10/1/2024 9:04,10/1/2024 9:14,Ut,Utrecht Centraal,52.089444,5.110278,107,Ames St at Main St,42.3625,-71.08822,679
299,10/1/2024 9:08,10/1/2024 9:13,Asd,Amsterdam Centraal,52.379189,4.899431,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,926
455,10/1/2024 9:13,10/1/2024 9:20,Rtb,Rotterdam Blaak,51.920582,4.486082,107,Ames St at Main St,42.3625,-71.08822,1089
533,10/1/2024 9:14,10/1/2024 9:23,Asd,Amsterdam Centraal,52.379189,4.899431,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,640
566,10/1/2024 9:20,10/1/2024 9:30,Asd,Amsterdam Centraal,52.379189,4.899431,143,EF - North Point Park,42.369885,-71.069957,739
1042,10/1/2024 9:22,10/1/2024 9:39,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1079
538,10/1/2024 9:25,10/1/2024 9:34,Rtd,Rotterdam Centraal,51.9225,4.467167,107,Ames St at Main St,42.3625,-71.08822,866
496,10/1/2024 9:25,10/1/2024 9:34,Ah,Arnhem Centraal,51.985,5.898611,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,896
716,10/1/2024 9:26,10/1/2024 9:38,Rtd,Rotterdam Centraal,51.9225,4.467167,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1303
312,10/1/2024 9:27,10/1/2024 9:32,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1302
265,10/1/2024 9:30,10/1/2024 9:35,Asd,Amsterdam Centraal,52.379189,4.899431,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1089
468,10/1/2024 9:35,10/1/2024 9:43,Asd,Amsterdam Centraal,52.379189,4.899431,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,679
1025,10/1/2024 9:35,10/1/2024 9:52,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,107,Ames St at Main St,42.3625,-71.08822,917
315,10/1/2024 9:38,10/1/2024 9:43,115,Porter Square Station,42.387995,-71.119084,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,864
1624,10/1/2024 9:47,10/1/2024 10:14,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1072
799,10/1/2024 9:47,10/1/2024 10:00,Nm,Nijmegen Station,51.841111,5.854167,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,886
845,10/1/2024 9:52,10/1/2024 10:06,Rtd,Rotterdam Centraal,51.9225,4.467167,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1299
467,10/1/2024 9:54,10/1/2024 10:02,Gvc,The Hague Centraal,52.084167,4.324722,141,Kendall Street,42.36356016,-71.08216792,852
339,10/1/2024 9:59,10/1/2024 10:05,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,763
363,10/1/2024 10:00,10/1/2024 10:06,Rtd,Rotterdam Centraal,51.9225,4.467167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,681
578,10/1/2024 10:07,10/1/2024 10:17,Rtd,Rotterdam Centraal,51.9225,4.467167,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,671
497,10/1/2024 10:07,10/1/2024 10:15,Nm,Nijmegen Station,51.841111,5.854167,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,753
526,10/1/2024 10:10,10/1/2024 10:19,Nm,Nijmegen Station,51.841111,5.854167,107,Ames St at Main St,42.3625,-71.08822,871
632,10/1/2024 10:13,10/1/2024 10:23,Rtd,Rotterdam Centraal,51.9225,4.467167,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,736
181,10/1/2024 10:13,10/1/2024 10:16,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,1092
360,10/1/2024 10:18,10/1/2024 10:24,Asdz,Amsterdam Zuid,52.338602,4.871978,107,Ames St at Main St,42.3625,-71.08822,1101
455,10/1/2024 10:20,10/1/2024 10:27,Asd,Amsterdam Centraal,52.379189,4.899431,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,866
1561,10/1/2024 10:24,10/1/2024 10:50,Nm,Nijmegen Station,51.841111,5.854167,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,662
82,10/1/2024 10:24,10/1/2024 10:26,Asd,Amsterdam Centraal,52.379189,4.899431,141,Kendall Street,42.36356016,-71.08216792,871
185,10/1/2024 10:27,10/1/2024 10:30,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,874
682,10/1/2024 10:30,10/1/2024 10:42,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1086
533,10/1/2024 10:31,10/1/2024 10:40,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,725
905,10/1/2024 10:35,10/1/2024 10:50,Uto,Utrecht Overvecht,52.113333,5.111111,143,EF - North Point Park,42.369885,-71.069957,1097
633,10/1/2024 10:48,10/1/2024 10:59,GV,The Hague Hollands Spoor,52.070833,4.322222,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,896
449,10/1/2024 10:53,10/1/2024 11:01,Uto,Utrecht Overvecht,52.113333,5.111111,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1089
475,10/1/2024 10:56,10/1/2024 11:04,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1297
487,10/1/2024 11:01,10/1/2024 11:10,GV,The Hague Hollands Spoor,52.070833,4.322222,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,670
284,10/1/2024 11:08,10/1/2024 11:13,Gvc,The Hague Centraal,52.084167,4.324722,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1296
664,10/1/2024 11:13,10/1/2024 11:24,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,862
324,10/1/2024 11:26,10/1/2024 11:32,142,Alewife Station at Russell Field,42.396105,-71.139459,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,657
467,10/1/2024 11:27,10/1/2024 11:35,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,647
596,10/1/2024 11:30,10/1/2024 11:40,Rtd,Rotterdam Centraal,51.9225,4.467167,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,882
522,10/1/2024 11:33,10/1/2024 11:42,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,992
185,10/1/2024 11:42,10/1/2024 11:46,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,886
505,10/1/2024 11:44,10/1/2024 11:52,Rtb,Rotterdam Blaak,51.920582,4.486082,107,Ames St at Main St,42.3625,-71.08822,1005
306,10/1/2024 11:46,10/1/2024 11:51,Gvc,The Hague Centraal,52.084167,4.324722,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,813
186,10/1/2024 11:48,10/1/2024 11:51,117,Binney St / Sixth St,42.366095,-71.086388,107,Ames St at Main St,42.3625,-71.08822,1107
4323,10/1/2024 11:50,10/1/2024 13:02,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,639
529,10/1/2024 11:50,10/1/2024 11:59,Ut,Utrecht Centraal,52.089444,5.110278,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,862
417,10/1/2024 11:55,10/1/2024 12:02,Gvc,The Hague Centraal,52.084167,4.324722,107,Ames St at Main St,42.3625,-71.08822,1302
995,10/1/2024 11:56,10/1/2024 12:12,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1297
643,10/1/2024 12:26,10/1/2024 12:36,Rtd,Rotterdam Centraal,51.9225,4.467167,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1291
697,10/1/2024 12:27,10/1/2024 12:38,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,107,Ames St at Main St,42.3625,-71.08822,1111
260,10/1/2024 12:34,10/1/2024 12:38,Asd,Amsterdam Centraal,52.379189,4.899431,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1107
884,10/1/2024 12:36,10/1/2024 12:50,Asd,Amsterdam Centraal,52.379189,4.899431,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,917
560,10/1/2024 12:38,10/1/2024 12:48,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,780
226,10/1/2024 12:38,10/1/2024 12:42,117,Binney St / Sixth St,42.366095,-71.086388,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1074
359,10/1/2024 12:39,10/1/2024 12:45,Asd,Amsterdam Centraal,52.379189,4.899431,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1101
523,10/1/2024 12:42,10/1/2024 12:51,Rtd,Rotterdam Centraal,51.9225,4.467167,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1301
504,10/1/2024 12:48,10/1/2024 12:56,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,756
606,10/1/2024 12:54,10/1/2024 13:04,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,866
1005,10/1/2024 12:55,10/1/2024 13:12,Ams,Amsterdam Amstel,52.346587,4.918684,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1296
188,10/1/2024 12:57,10/1/2024 13:00,Rtb,Rotterdam Blaak,51.920582,4.486082,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,647
481,10/1/2024 13:07,10/1/2024 13:15,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1113
220,10/1/2024 13:07,10/1/2024 13:10,117,Binney St / Sixth St,42.366095,-71.086388,107,Ames St at Main St,42.3625,-71.08822,774
304,10/1/2024 13:09,10/1/2024 13:14,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,662
339,10/1/2024 13:13,10/1/2024 13:19,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,142,Alewife Station at Russell Field,42.396105,-71.139459,1294
478,10/1/2024 13:22,10/1/2024 13:30,Asd,Amsterdam Centraal,52.379189,4.899431,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1302
365,10/1/2024 13:37,10/1/2024 13:43,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1101
536,10/1/2024 13:43,10/1/2024 13:52,117,Binney St / Sixth St,42.366095,-71.086388,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1292
832,10/1/2024 13:55,10/1/2024 14:09,Gvc,The Hague Centraal,52.084167,4.324722,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,647
269,10/1/2024 14:03,10/1/2024 14:07,GV,The Hague Hollands Spoor,52.070833,4.322222,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,888
297,10/1/2024 14:03,10/1/2024 14:08,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,878
927,10/1/2024 14:05,10/1/2024 14:20,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,668
351,10/1/2024 14:09,10/1/2024 14:15,Gvc,The Hague Centraal,52.084167,4.324722,107,Ames St at Main St,42.3625,-71.08822,878
814,10/1/2024 14:15,10/1/2024 14:29,GV,The Hague Hollands Spoor,52.070833,4.322222,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,772
687,10/1/2024 14:21,10/1/2024 14:32,Asd,Amsterdam Centraal,52.379189,4.899431,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,861
6034,10/1/2024 14:34,10/1/2024 16:15,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,868
702,10/1/2024 14:37,10/1/2024 14:49,Ah,Arnhem Centraal,51.985,5.898611,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,763
364,10/1/2024 14:45,10/1/2024 14:51,Ut,Utrecht Centraal,52.089444,5.110278,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1302
342,10/1/2024 14:46,10/1/2024 14:52,Uto,Utrecht Overvecht,52.113333,5.111111,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1266
104,10/1/2024 14:49,10/1/2024 14:50,141,Kendall Street,42.36356016,-71.08216792,107,Ames St at Main St,42.3625,-71.08822,871
594,10/1/2024 14:50,10/1/2024 15:00,Asdz,Amsterdam Zuid,52.338602,4.871978,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,896
304,10/1/2024 15:00,10/1/2024 15:05,Nm,Nijmegen Station,51.841111,5.854167,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1011
4239,10/1/2024 15:10,10/1/2024 16:21,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,983
144,10/1/2024 15:13,10/1/2024 15:16,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,685
222,10/1/2024 15:15,10/1/2024 15:19,Uto,Utrecht Overvecht,52.113333,5.111111,107,Ames St at Main St,42.3625,-71.08822,1077
197,10/1/2024 15:15,10/1/2024 15:19,Asd,Amsterdam Centraal,52.379189,4.899431,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,871
599,10/1/2024 15:22,10/1/2024 15:32,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,763
156770,10/1/2024 15:31,10/1/2024 11:03,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,880
405,10/1/2024 15:31,10/1/2024 15:38,Asd,Amsterdam Centraal,52.379189,4.899431,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,878
374,10/1/2024 15:35,10/1/2024 15:41,Rtd,Rotterdam Centraal,51.9225,4.467167,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1266
530,10/1/2024 15:36,10/1/2024 15:45,Asdz,Amsterdam Zuid,52.338602,4.871978,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,990
493,10/1/2024 15:37,10/1/2024 15:45,Asdz,Amsterdam Zuid,52.338602,4.871978,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1325
14169,10/1/2024 15:54,10/1/2024 19:50,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1088
468,10/1/2024 15:54,10/1/2024 16:02,Asdz,Amsterdam Zuid,52.338602,4.871978,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1278
1209,10/1/2024 16:05,10/1/2024 16:25,Nm,Nijmegen Station,51.841111,5.854167,107,Ames St at Main St,42.3625,-71.08822,702
908,10/1/2024 16:22,10/1/2024 16:37,117,Binney St / Sixth St,42.366095,-71.086388,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,650
709,10/1/2024 16:36,10/1/2024 16:47,Asdz,Amsterdam Zuid,52.338602,4.871978,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,990
706,10/1/2024 16:38,10/1/2024 16:50,Ams,Amsterdam Amstel,52.346587,4.918684,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,671
578,10/1/2024 16:41,10/1/2024 16:50,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,661
395,10/1/2024 16:42,10/1/2024 16:49,Uto,Utrecht Overvecht,52.113333,5.111111,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,871
235,10/1/2024 16:46,10/1/2024 16:50,Uto,Utrecht Overvecht,52.113333,5.111111,107,Ames St at Main St,42.3625,-71.08822,1266
418,10/1/2024 16:55,10/1/2024 17:02,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1296
467,10/1/2024 17:02,10/1/2024 17:10,Rtb,Rotterdam Blaak,51.920582,4.486082,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,753
278,10/1/2024 17:07,10/1/2024 17:12,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,115,Porter Square Station,42.387995,-71.119084,1306
328,10/1/2024 17:08,10/1/2024 17:14,Asd,Amsterdam Centraal,52.379189,4.899431,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1281
174,10/1/2024 17:10,10/1/2024 17:13,Asdz,Amsterdam Zuid,52.338602,4.871978,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,890
286,10/1/2024 17:10,10/1/2024 17:15,Asdz,Amsterdam Zuid,52.338602,4.871978,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1107
335,10/1/2024 17:14,10/1/2024 17:20,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,983
4886,10/1/2024 17:15,10/1/2024 18:36,141,Kendall Street,42.36356016,-71.08216792,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,779
563,10/1/2024 17:18,10/1/2024 17:27,Ams,Amsterdam Amstel,52.346587,4.918684,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,1302
815,10/1/2024 17:18,10/1/2024 17:32,Asdz,Amsterdam Zuid,52.338602,4.871978,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,926
258,10/1/2024 17:25,10/1/2024 17:29,Rtd,Rotterdam Centraal,51.9225,4.467167,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,755
